COURT,CASE_TYPE_NAME,YEAR,MONTH,CASE_COUNT
1C,Civil_Action,2023,4,118
1C,Civil_Action,2023,5,155
1C,Civil_Action,2023,6,150
1C,Civil_Action,2023,7,132
1C,Civil_Action,2023,8,158
1C,Civil_Action,2023,9,121
1C,Civil_Action,2023,10,151
1C,Civil_Action,2023,11,138
1C,Civil_Action,2023,12,115
1C,Civil_Action,2024,1,161
1C,Civil_Action,2024,2,122
1C,Civil_Action,2024,3,130
1C,Civil_Action,2024,4,145
1C,Civil_Action,2024,5,170
1C,Civil_Action,2024,6,135
1C,Civil_Action,2024,7,181
1C,Civil_Action,2024,8,194
1C,Civil_Action,2024,9,147
1C,Civil_Action,2024,10,190
1C,Civil_Action,2024,11,162
1C,Civil_Action,2024,12,117
1C,Criminal_Action,1998,1,229
1C,Criminal_Action,1998,2,223
1C,Criminal_Action,1998,3,233
1C,Criminal_Action,1998,4,281
1C,Criminal_Action,1998,5,203
1C,Criminal_Action,1998,6,250
1C,Criminal_Action,1998,7,251
1C,Criminal_Action,1998,8,219
1C,Criminal_Action,1998,9,207
1C,Criminal_Action,1998,10,193
1C,Criminal_Action,1998,11,191
1C,Criminal_Action,1998,12,196
1C,Criminal_Action,1999,1,197
1C,Criminal_Action,1999,2,173
1C,Criminal_Action,1999,3,252
1C,Criminal_Action,1999,4,199
1C,Criminal_Action,1999,5,189
1C,Criminal_Action,1999,6,258
1C,Criminal_Action,1999,7,198
1C,Criminal_Action,1999,8,217
1C,Criminal_Action,1999,9,258
1C,Criminal_Action,1999,10,211
1C,Criminal_Action,1999,11,185
1C,Criminal_Action,1999,12,201
1C,Criminal_Action,2000,1,187
1C,Criminal_Action,2000,2,215
1C,Criminal_Action,2000,3,256
1C,Criminal_Action,2000,4,214
1C,Criminal_Action,2000,5,243
1C,Criminal_Action,2000,6,258
1C,Criminal_Action,2000,7,206
1C,Criminal_Action,2000,8,253
1C,Criminal_Action,2000,9,213
1C,Criminal_Action,2000,10,228
1C,Criminal_Action,2000,11,186
1C,Criminal_Action,2000,12,217
1C,Criminal_Action,2001,1,249
1C,Criminal_Action,2001,2,228
1C,Criminal_Action,2001,3,269
1C,Criminal_Action,2001,4,230
1C,Criminal_Action,2001,5,218
1C,Criminal_Action,2001,6,242
1C,Criminal_Action,2001,7,247
1C,Criminal_Action,2001,8,227
1C,Criminal_Action,2001,9,239
1C,Criminal_Action,2001,10,292
1C,Criminal_Action,2001,11,223
1C,Criminal_Action,2001,12,230
1C,Criminal_Action,2002,1,178
1C,Criminal_Action,2002,2,221
1C,Criminal_Action,2002,3,213
1C,Criminal_Action,2002,4,234
1C,Criminal_Action,2002,5,246
1C,Criminal_Action,2002,6,247
1C,Criminal_Action,2002,7,261
1C,Criminal_Action,2002,8,275
1C,Criminal_Action,2002,9,254
1C,Criminal_Action,2002,10,236
1C,Criminal_Action,2002,11,215
1C,Criminal_Action,2002,12,271
1C,Criminal_Action,2003,1,238
1C,Criminal_Action,2003,2,227
1C,Criminal_Action,2003,3,188
1C,Criminal_Action,2003,4,266
1C,Criminal_Action,2003,5,270
1C,Criminal_Action,2003,6,238
1C,Criminal_Action,2003,7,255
1C,Criminal_Action,2003,8,195
1C,Criminal_Action,2003,9,246
1C,Criminal_Action,2003,10,270
1C,Criminal_Action,2003,11,176
1C,Criminal_Action,2003,12,213
1C,Criminal_Action,2004,1,176
1C,Criminal_Action,2004,2,196
1C,Criminal_Action,2004,3,216
1C,Criminal_Action,2004,4,266
1C,Criminal_Action,2004,5,185
1C,Criminal_Action,2004,6,234
1C,Criminal_Action,2004,7,227
1C,Criminal_Action,2004,8,216
1C,Criminal_Action,2004,9,229
1C,Criminal_Action,2004,10,216
1C,Criminal_Action,2004,11,206
1C,Criminal_Action,2004,12,228
1C,Criminal_Action,2005,1,186
1C,Criminal_Action,2005,2,207
1C,Criminal_Action,2005,3,243
1C,Criminal_Action,2005,4,235
1C,Criminal_Action,2005,5,242
1C,Criminal_Action,2005,6,228
1C,Criminal_Action,2005,7,232
1C,Criminal_Action,2005,8,228
1C,Criminal_Action,2005,9,225
1C,Criminal_Action,2005,10,222
1C,Criminal_Action,2005,11,250
1C,Criminal_Action,2005,12,274
1C,Criminal_Action,2006,1,187
1C,Criminal_Action,2006,2,200
1C,Criminal_Action,2006,3,253
1C,Criminal_Action,2006,4,224
1C,Criminal_Action,2006,5,250
1C,Criminal_Action,2006,6,211
1C,Criminal_Action,2006,7,205
1C,Criminal_Action,2006,8,239
1C,Criminal_Action,2006,9,201
1C,Criminal_Action,2006,10,262
1C,Criminal_Action,2006,11,173
1C,Criminal_Action,2006,12,187
1C,Criminal_Action,2007,1,211
1C,Criminal_Action,2007,2,201
1C,Criminal_Action,2007,3,208
1C,Criminal_Action,2007,4,189
1C,Criminal_Action,2007,5,214
1C,Criminal_Action,2007,6,198
1C,Criminal_Action,2007,7,193
1C,Criminal_Action,2007,8,230
1C,Criminal_Action,2007,9,180
1C,Criminal_Action,2007,10,209
1C,Criminal_Action,2007,11,198
1C,Criminal_Action,2007,12,163
1C,Criminal_Action,2008,1,179
1C,Criminal_Action,2008,2,141
1C,Criminal_Action,2008,3,161
1C,Criminal_Action,2008,4,168
1C,Criminal_Action,2008,5,186
1C,Criminal_Action,2008,6,183
1C,Criminal_Action,2008,7,197
1C,Criminal_Action,2008,8,146
1C,Criminal_Action,2008,9,182
1C,Criminal_Action,2008,10,185
1C,Criminal_Action,2008,11,134
1C,Criminal_Action,2008,12,172
1C,Criminal_Action,2009,1,129
1C,Criminal_Action,2009,2,149
1C,Criminal_Action,2009,3,176
1C,Criminal_Action,2009,4,185
1C,Criminal_Action,2009,5,171
1C,Criminal_Action,2009,6,186
1C,Criminal_Action,2009,7,214
1C,Criminal_Action,2009,8,143
1C,Criminal_Action,2009,9,173
1C,Criminal_Action,2009,10,159
1C,Criminal_Action,2009,11,163
1C,Criminal_Action,2009,12,201
1C,Criminal_Action,2010,1,130
1C,Criminal_Action,2010,2,152
1C,Criminal_Action,2010,3,210
1C,Criminal_Action,2010,4,187
1C,Criminal_Action,2010,5,189
1C,Criminal_Action,2010,6,179
1C,Criminal_Action,2010,7,179
1C,Criminal_Action,2010,8,197
1C,Criminal_Action,2010,9,177
1C,Criminal_Action,2010,10,180
1C,Criminal_Action,2010,11,194
1C,Criminal_Action,2010,12,149
1C,Criminal_Action,2011,1,138
1C,Criminal_Action,2011,2,133
1C,Criminal_Action,2011,3,160
1C,Criminal_Action,2011,4,164
1C,Criminal_Action,2011,5,169
1C,Criminal_Action,2011,6,135
1C,Criminal_Action,2011,7,142
1C,Criminal_Action,2011,8,157
1C,Criminal_Action,2011,9,166
1C,Criminal_Action,2011,10,190
1C,Criminal_Action,2011,11,159
1C,Criminal_Action,2011,12,180
1C,Criminal_Action,2012,1,155
1C,Criminal_Action,2012,2,187
1C,Criminal_Action,2012,3,151
1C,Criminal_Action,2012,4,183
1C,Criminal_Action,2012,5,156
1C,Criminal_Action,2012,6,141
1C,Criminal_Action,2012,7,142
1C,Criminal_Action,2012,8,173
1C,Criminal_Action,2012,9,158
1C,Criminal_Action,2012,10,201
1C,Criminal_Action,2012,11,159
1C,Criminal_Action,2012,12,130
1C,Criminal_Action,2013,1,145
1C,Criminal_Action,2013,2,150
1C,Criminal_Action,2013,3,149
1C,Criminal_Action,2013,4,166
1C,Criminal_Action,2013,5,164
1C,Criminal_Action,2013,6,156
1C,Criminal_Action,2013,7,179
1C,Criminal_Action,2013,8,169
1C,Criminal_Action,2013,9,167
1C,Criminal_Action,2013,10,157
1C,Criminal_Action,2013,11,151
1C,Criminal_Action,2013,12,171
1C,Criminal_Action,2014,1,153
1C,Criminal_Action,2014,2,183
1C,Criminal_Action,2014,3,190
1C,Criminal_Action,2014,4,186
1C,Criminal_Action,2014,5,174
1C,Criminal_Action,2014,6,187
1C,Criminal_Action,2014,7,159
1C,Criminal_Action,2014,8,159
1C,Criminal_Action,2014,9,176
1C,Criminal_Action,2014,10,173
1C,Criminal_Action,2014,11,138
1C,Criminal_Action,2014,12,173
1C,Criminal_Action,2015,1,142
1C,Criminal_Action,2015,2,173
1C,Criminal_Action,2015,3,171
1C,Criminal_Action,2015,4,192
1C,Criminal_Action,2015,5,178
1C,Criminal_Action,2015,6,180
1C,Criminal_Action,2015,7,174
1C,Criminal_Action,2015,8,159
1C,Criminal_Action,2015,9,211
1C,Criminal_Action,2015,10,162
1C,Criminal_Action,2015,11,131
1C,Criminal_Action,2015,12,189
1C,Criminal_Action,2016,1,154
1C,Criminal_Action,2016,2,154
1C,Criminal_Action,2016,3,200
1C,Criminal_Action,2016,4,174
1C,Criminal_Action,2016,5,196
1C,Criminal_Action,2016,6,178
1C,Criminal_Action,2016,7,172
1C,Criminal_Action,2016,8,177
1C,Criminal_Action,2016,9,152
1C,Criminal_Action,2016,10,176
1C,Criminal_Action,2016,11,141
1C,Criminal_Action,2016,12,144
1C,Criminal_Action,2017,1,154
1C,Criminal_Action,2017,2,144
1C,Criminal_Action,2017,3,158
1C,Criminal_Action,2017,4,167
1C,Criminal_Action,2017,5,177
1C,Criminal_Action,2017,6,165
1C,Criminal_Action,2017,7,162
1C,Criminal_Action,2017,8,175
1C,Criminal_Action,2017,9,176
1C,Criminal_Action,2017,10,165
1C,Criminal_Action,2017,11,133
1C,Criminal_Action,2017,12,152
1C,Criminal_Action,2018,1,155
1C,Criminal_Action,2018,2,162
1C,Criminal_Action,2018,3,180
1C,Criminal_Action,2018,4,184
1C,Criminal_Action,2018,5,194
1C,Criminal_Action,2018,6,188
1C,Criminal_Action,2018,7,181
1C,Criminal_Action,2018,8,155
1C,Criminal_Action,2018,9,152
1C,Criminal_Action,2018,10,154
1C,Criminal_Action,2018,11,164
1C,Criminal_Action,2018,12,159
1C,Criminal_Action,2019,1,173
1C,Criminal_Action,2019,2,145
1C,Criminal_Action,2019,3,157
1C,Criminal_Action,2019,4,193
1C,Criminal_Action,2019,5,163
1C,Criminal_Action,2019,6,124
1C,Criminal_Action,2019,7,135
1C,Criminal_Action,2019,8,165
1C,Criminal_Action,2019,9,162
1C,Criminal_Action,2019,10,178
1C,Criminal_Action,2019,11,133
1C,Criminal_Action,2019,12,169
1C,Criminal_Action,2020,1,150
1C,Criminal_Action,2020,2,137
1C,Criminal_Action,2020,3,140
1C,Criminal_Action,2020,4,47
1C,Criminal_Action,2020,5,170
1C,Criminal_Action,2020,6,136
1C,Criminal_Action,2020,7,145
1C,Criminal_Action,2020,8,107
1C,Criminal_Action,2020,9,87
1C,Criminal_Action,2020,10,168
1C,Criminal_Action,2020,11,133
1C,Criminal_Action,2020,12,135
1C,Criminal_Action,2021,1,97
1C,Criminal_Action,2021,2,136
1C,Criminal_Action,2021,3,136
1C,Criminal_Action,2021,4,133
1C,Criminal_Action,2021,5,111
1C,Criminal_Action,2021,6,140
1C,Criminal_Action,2021,7,146
1C,Criminal_Action,2021,8,153
1C,Criminal_Action,2021,9,152
1C,Criminal_Action,2021,10,144
1C,Criminal_Action,2021,11,131
1C,Criminal_Action,2021,12,121
1C,Criminal_Action,2022,1,103
1C,Criminal_Action,2022,2,134
1C,Criminal_Action,2022,3,150
1C,Criminal_Action,2022,4,162
1C,Criminal_Action,2022,5,141
1C,Criminal_Action,2022,6,149
1C,Criminal_Action,2022,7,118
1C,Criminal_Action,2022,8,150
1C,Criminal_Action,2022,9,149
1C,Criminal_Action,2022,10,147
1C,Criminal_Action,2022,11,134
1C,Criminal_Action,2022,12,136
1C,Criminal_Action,2023,1,136
1C,Criminal_Action,2023,2,122
1C,Criminal_Action,2023,3,131
1C,Criminal_Action,2023,4,108
1C,Criminal_Action,2023,5,134
1C,Criminal_Action,2023,6,137
1C,Criminal_Action,2023,7,136
1C,Criminal_Action,2023,8,124
1C,Criminal_Action,2023,9,123
1C,Criminal_Action,2023,10,119
1C,Criminal_Action,2023,11,121
1C,Criminal_Action,2023,12,108
1C,Criminal_Action,2024,1,100
1C,Criminal_Action,2024,2,106
1C,Criminal_Action,2024,3,117
1C,Criminal_Action,2024,4,121
1C,Criminal_Action,2024,5,151
1C,Criminal_Action,2024,6,127
1C,Criminal_Action,2024,7,138
1C,Criminal_Action,2024,8,126
1C,Criminal_Action,2024,9,119
1C,Criminal_Action,2024,10,148
1C,Criminal_Action,2024,11,96
1C,Criminal_Action,2024,12,119
1D,Traffic,1998,1,15845
1D,Traffic,1998,2,13507
1D,Traffic,1998,3,12476
1D,Traffic,1998,4,12397
1D,Traffic,1998,5,12112
1D,Traffic,1998,6,13465
1D,Traffic,1998,7,14900
1D,Traffic,1998,8,13664
1D,Traffic,1998,9,14167
1D,Traffic,1998,10,14251
1D,Traffic,1998,11,12063
1D,Traffic,1998,12,13750
1D,Traffic,1999,1,14066
1D,Traffic,1999,2,15462
1D,Traffic,1999,3,20017
1D,Traffic,1999,4,17840
1D,Traffic,1999,5,18540
1D,Traffic,1999,6,21444
1D,Traffic,1999,7,14059
1D,Traffic,1999,8,15028
1D,Traffic,1999,9,16406
1D,Traffic,1999,10,13525
1D,Traffic,1999,11,11964
1D,Traffic,1999,12,12244
1D,Traffic,2000,1,12847
1D,Traffic,2000,2,12094
1D,Traffic,2000,3,14104
1D,Traffic,2000,4,14026
1D,Traffic,2000,5,14587
1D,Traffic,2000,6,15952
1D,Traffic,2000,7,13529
1D,Traffic,2000,8,13617
1D,Traffic,2000,9,12559
1D,Traffic,2000,10,13405
1D,Traffic,2000,11,12476
1D,Traffic,2000,12,12613
1D,Traffic,2001,1,15862
1D,Traffic,2001,2,13452
1D,Traffic,2001,3,15472
1D,Traffic,2001,4,13546
1D,Traffic,2001,5,11916
1D,Traffic,2001,6,21852
1D,Traffic,2001,7,18481
1D,Traffic,2001,8,14806
1D,Traffic,2001,9,12372
1D,Traffic,2001,10,15131
1D,Traffic,2001,11,15820
1D,Traffic,2001,12,14279
1D,Traffic,2002,1,18751
1D,Traffic,2002,2,15370
1D,Traffic,2002,3,22870
1D,Traffic,2002,4,21474
1D,Traffic,2002,5,17494
1D,Traffic,2002,6,15283
1D,Traffic,2002,7,16774
1D,Traffic,2002,8,15338
1D,Traffic,2002,9,16355
1D,Traffic,2002,10,14124
1D,Traffic,2002,11,12996
1D,Traffic,2002,12,13106
1D,Traffic,2003,1,13568
1D,Traffic,2003,2,12774
1D,Traffic,2003,3,13953
1D,Traffic,2003,4,18145
1D,Traffic,2003,5,19181
1D,Traffic,2003,6,19089
1D,Traffic,2003,7,17440
1D,Traffic,2003,8,16442
1D,Traffic,2003,9,19006
1D,Traffic,2003,10,24543
1D,Traffic,2003,11,26028
1D,Traffic,2003,12,27784
1D,Traffic,2004,1,24565
1D,Traffic,2004,2,24238
1D,Traffic,2004,3,29930
1D,Traffic,2004,4,30500
1D,Traffic,2004,5,27193
1D,Traffic,2004,6,32801
1D,Traffic,2004,7,30628
1D,Traffic,2004,8,29331
1D,Traffic,2004,9,28296
1D,Traffic,2004,10,26447
1D,Traffic,2004,11,29563
1D,Traffic,2004,12,27698
1D,Traffic,2005,1,29513
1D,Traffic,2005,2,29241
1D,Traffic,2005,3,34335
1D,Traffic,2005,4,31586
1D,Traffic,2005,5,35628
1D,Traffic,2005,6,32906
1D,Traffic,2005,7,29984
1D,Traffic,2005,8,35261
1D,Traffic,2005,9,32143
1D,Traffic,2005,10,26291
