Year,Circuit,Type of Action,Pending at Start,Filed,Total Caseload,Terminated,Pending at End
2006,COA,Motions,37.0,2784.0,2821.0,2793.0,28.0
2006,COA,Original Proceedings,13.0,52.0,65.0,57.0,8.0
2006,COA,Total Appeals,929.0,588.0,1517.0,714.0,803.0
2007,COA,Civil,503.0,354.0,857.0,437.0,420.0
2007,COA,Criminal,300.0,201.0,501.0,256.0,245.0
2007,COA,Motions,28.0,2395.0,2423.0,2390.0,33.0
2007,COA,Original Proceedings,8.0,69.0,77.0,68.0,9.0
2007,COA,Total Appeals,803.0,555.0,1358.0,693.0,665.0
2008,COA,Civil,420.0,332.0,752.0,337.0,415.0
2008,COA,Criminal,245.0,231.0,476.0,222.0,254.0
2008,COA,Motions,33.0,2272.0,2305.0,2266.0,39.0
2008,COA,Original Proceedings,9.0,72.0,81.0,72.0,9.0
2008,COA,Total Appeals,665.0,563.0,1228.0,559.0,669.0
2009,COA,Civil,415.0,357.0,772.0,369.0,403.0
2009,COA,Criminal,254.0,238.0,492.0,254.0,238.0
2009,COA,Motions,39.0,2566.0,2605.0,2551.0,54.0
2009,COA,Original Proceedings,9.0,97.0,106.0,89.0,17.0
2009,COA,Total Appeals,669.0,595.0,1264.0,623.0,641.0
2010,COA,Civil,403.0,313.0,716.0,292.0,424.0
2010,COA,Criminal,238.0,266.0,504.0,251.0,253.0
2010,COA,Motions,54.0,2421.0,2475.0,2445.0,30.0
2010,COA,Original Proceedings,17.0,98.0,115.0,107.0,8.0
2010,COA,Total Appeals,641.0,579.0,1220.0,543.0,677.0
2011,COA,Civil,424.0,374.0,798.0,286.0,512.0
2011,COA,Criminal,253.0,207.0,460.0,211.0,249.0
2011,COA,Motions,25.0,2520.0,2545.0,2500.0,45.0
2011,COA,Original Proceedings,8.0,136.0,144.0,138.0,6.0
2011,COA,Total Appeals,677.0,581.0,1258.0,497.0,761.0
2012,COA,Civil,512.0,413.0,925.0,399.0,526.0
2012,COA,Criminal,249.0,216.0,465.0,214.0,251.0
2012,COA,Motions,45.0,2964.0,3009.0,2968.0,41.0
2012,COA,Original Proceedings,6.0,133.0,139.0,127.0,12.0
2012,COA,Total Appeals,761.0,629.0,1390.0,613.0,777.0
2013,COA,Civil,520.0,410.0,930.0,448.0,482.0
2013,COA,Criminal,251.0,235.0,486.0,200.0,286.0
2013,COA,Motions,41.0,3336.0,3377.0,3319.0,58.0
2013,COA,Original Proceedings,12.0,166.0,178.0,169.0,9.0
2013,COA,Total Appeals,771.0,645.0,1416.0,648.0,768.0
2014,COA,Civil,482.0,400.0,882.0,451.0,431.0
2014,COA,Criminal,286.0,208.0,494.0,189.0,305.0
2014,COA,Motions,58.0,3022.0,3080.0,3056.0,24.0
2014,COA,Original Proceedings,9.0,103.0,112.0,103.0,9.0
2014,COA,Total Appeals,768.0,608.0,1376.0,640.0,736.0
2015,COA,Civil,431.0,382.0,813.0,385.0,428.0
2015,COA,Criminal,305.0,206.0,511.0,203.0,308.0
2015,COA,Motions,54.0,2671.0,2725.0,2673.0,52.0
2015,COA,Original Proceedings,9.0,87.0,96.0,82.0,14.0
2015,COA,Total Appeals,736.0,588.0,1324.0,588.0,736.0
2016,COA,Civil,437.0,479.0,916.0,443.0,473.0
2016,COA,Criminal,313.0,267.0,580.0,301.0,279.0
2016,COA,Motions,56.0,2817.0,2873.0,2811.0,62.0
2016,COA,Original Proceedings,24.0,86.0,110.0,91.0,19.0
2016,COA,Total Appeals,750.0,746.0,1496.0,744.0,752.0
2017,COA,Civil,470.0,605.0,1075.0,495.0,580.0
2017,COA,Criminal,282.0,255.0,537.0,265.0,272.0
2017,COA,Motions,62.0,2550.0,2612.0,2529.0,83.0
2017,COA,Original Proceedings,21.0,72.0,93.0,80.0,13.0
2017,COA,Total Appeals,752.0,860.0,1612.0,760.0,852.0
2018,COA,Civil,579.0,511.0,1090.0,405.0,685.0
2018,COA,Criminal,274.0,248.0,522.0,263.0,259.0
2018,COA,Motions,83.0,2600.0,2683.0,2590.0,93.0
2018,COA,Original Proceedings,17.0,66.0,83.0,69.0,14.0
2018,COA,Total Appeals,853.0,759.0,1612.0,668.0,944.0
2019,COA,Civil,668.0,430.0,1098.0,462.0,636.0
2019,COA,Criminal,259.0,286.0,545.0,251.0,294.0
2019,COA,Motions,93.0,2626.0,2719.0,2651.0,68.0
2019,COA,Original Proceedings,14.0,78.0,92.0,75.0,17.0
2019,COA,Total Appeals,927.0,716.0,1643.0,713.0,930.0
2020,COA,Civil,668.0,430.0,1098.0,462.0,636.0
2020,COA,Criminal,259.0,286.0,545.0,251.0,294.0
2020,COA,Motions,93.0,2626.0,2719.0,2651.0,68.0
2020,COA,Original Proceedings,14.0,78.0,92.0,75.0,17.0
2020,COA,Total Appeals,927.0,716.0,1643.0,713.0,930.0
2021,COA,Civil,668.0,364.0,1032.0,325.0,707.0
2021,COA,Criminal,249.0,147.0,396.0,174.0,222.0
2021,COA,Motions,77.0,2324.0,2401.0,2320.0,81.0
2021,COA,Original Proceedings,7.0,114.0,121.0,116.0,5.0
2021,COA,Total Appeals,917.0,511.0,1428.0,499.0,929.0
2022,COA,Civil,710.0,386.0,1096.0,345.0,751.0
2022,COA,Criminal,220.0,116.0,336.0,179.0,157.0
2022,COA,Motions,81.0,1930.0,2011.0,1923.0,88.0
2022,COA,Original Proceedings,5.0,104.0,109.0,100.0,9.0
2022,COA,Total Appeals,930.0,502.0,1432.0,524.0,908.0
2023,COA,Civil,751.0,412.0,1163.0,441.0,722.0
2023,COA,Criminal,156.0,154.0,310.0,130.0,180.0
2023,COA,Motions,88.0,1977.0,2065.0,1992.0,73.0
2023,COA,Original Proceedings,9.0,115.0,124.0,118.0,6.0
2023,COA,Total Appeals,907.0,566.0,1473.0,571.0,902.0
1998,Fifth Circuit,Adoption Proceedings,44.0,42.0,86.0,35.0,51.0
1998,Fifth Circuit,Marital Actions and Proceedings,396.0,241.0,637.0,236.0,401.0
1998,Fifth Circuit,Parental Proceedings,251.0,95.0,346.0,91.0,255.0
1998,First Circuit,Adoption Proceedings,285.0,588.0,873.0,553.0,320.0
1998,First Circuit,Marital Actions and Proceedings,4691.0,4756.0,9447.0,7078.0,2369.0
1998,First Circuit,Parental Proceedings,818.0,1633.0,2451.0,1348.0,1103.0
1998,Second Circuit,Adoption Proceedings,55.0,61.0,116.0,81.0,35.0
1998,Second Circuit,Marital Actions and Proceedings,777.0,572.0,1349.0,574.0,775.0
1998,Second Circuit,Parental Proceedings,887.0,442.0,1329.0,805.0,524.0
1998,Third Circuit,Adoption Proceedings,64.0,67.0,131.0,65.0,66.0
1998,Third Circuit,Marital Actions and Proceedings,767.0,663.0,1430.0,769.0,661.0
1998,Third Circuit,Parental Proceedings,439.0,515.0,954.0,531.0,423.0
1999,Fifth Circuit,Adoption Proceedings,44.0,42.0,86.0,35.0,51.0
1999,Fifth Circuit,Marital Actions and Proceedings,396.0,241.0,637.0,236.0,401.0
1999,Fifth Circuit,Parental Proceedings,251.0,95.0,346.0,91.0,255.0
1999,First Circuit,Adoption Proceedings,320.0,582.0,902.0,549.0,353.0
1999,First Circuit,Marital Actions and Proceedings,2369.0,4033.0,6402.0,4036.0,2366.0
1999,First Circuit,Parental Proceedings,1103.0,1356.0,2459.0,1665.0,794.0
1999,Second Circuit,Adoption Proceedings,35.0,80.0,115.0,85.0,30.0
1999,Second Circuit,Marital Actions and Proceedings,775.0,599.0,1374.0,570.0,804.0
1999,Second Circuit,Parental Proceedings,524.0,233.0,757.0,250.0,507.0
1999,Third Circuit,Adoption Proceedings,66.0,85.0,151.0,70.0,81.0
1999,Third Circuit,Marital Actions and Proceedings,661.0,640.0,1301.0,573.0,728.0
1999,Third Circuit,Parental Proceedings,423.0,377.0,800.0,367.0,433.0
2000,Fifth Circuit,Adoption Proceedings,51.0,33.0,84.0,35.0,49.0
2000,Fifth Circuit,Marital Actions and Proceedings,401.0,234.0,635.0,325.0,310.0
